;input;filtered;denoisedF;denoisedR;merged;nonchim
GCAU21BBEB1;28486;27222;27067;27158;26725;26258
GCAU21BBEB2;20615;19637;19591;19596;19470;19168
GCAU21BBEB3;31033;29387;28943;29213;28134;27168
GCAU21BBFL1;30202;28767;28269;28583;27078;25473
GCAU21BBFL2;7779;7437;7407;7412;7304;6778
GCAU21BBFL3;31371;29799;29445;29557;28552;26316
GCAU21BBFL4;21553;20663;20506;20577;20225;19876
GCAU21MLEB1;5996;5690;5597;5654;5447;5315
GCAU21MLEB2;19295;18244;18084;18170;17718;17560
GCAU21MLEB3;27080;25608;25488;25526;25200;24926
GCAU21MLFL1;48905;46446;45605;46164;43838;42613
GCAU21MLFL3;50136;47289;46533;47015;44875;43245
GCAU21MLFL5;13505;12895;12873;12867;12805;12439
GCAU21MLFL7;27631;26354;26262;26317;26062;25468
GCAU21SSEB1;27423;26124;25981;26056;25676;25325
GCAU21SSEB3;13975;13453;13434;13438;13388;12877
GCAU21SSEB5;17264;16440;16386;16403;16282;15257
GCAU21SSEB7;16771;15777;15762;15775;15736;15310
GCAU21SSFL1;27952;26745;26200;26562;25212;24785
GCAU21SSFL3;19938;18999;18848;18944;18557;18249
GCAU21SSFL5;19588;18733;18542;18667;18152;17932
GCAU21TWEB1;19080;18013;17272;17762;16207;15790
GCAU21TWFL1;9635;9252;9164;9220;9047;8806
GCAU21TWFL2;2347;2256;2218;2237;2150;2014
GCSP22BBEB1;28890;27561;27336;27484;26934;26321
GCSP22BBEB3;51087;48600;48278;48504;47497;46035
GCSP22BBEB9;7024;6628;6475;6548;6128;5931
GCSP22MLEB3;49277;47066;46768;46975;46079;43529
GCSP22MLEB7;59937;57346;56698;57234;55092;50101
GCSP22MLFL3;39594;37739;37522;37681;37054;35887
GCSP22TWEB1;15320;14645;14624;14625;14558;14026
GCSP22TWFL1;43955;41986;41796;41902;41260;39585
GCSP22TWFL2;35522;33990;33871;33916;33477;32882
GCSP22TWFL3;28771;27512;27451;27489;27269;26587
GCSU21BBEB1;43992;42246;41950;42142;41279;39214
GCSU21BBEB2;38701;37228;36551;36960;35329;33355
GCSU21BBEB4;36715;35302;35048;35182;34590;33534
GCSU21BBEB5;16419;15789;15715;15751;15528;15235
GCSU21BBEB6;29346;28026;27701;27904;26969;26443
GCSU21BBFL2;39160;37262;32365;35942;26559;24283
GCSU21BBFL3;28256;26962;26188;26672;24844;22618
GCSU21MLEB1;53874;51959;51225;51803;49677;45614
